satname, satId, intl_code, launchDate, period, category
SL-8 R/B, 19257, 1988-053B, June 21 1988, 100.2, BRIGHTEST
COSMOS 1953, 19210, 1988-050A, June 14 1988, 95.6, BRIGHTEST
SL-16 R/B, 19120, 1988-039B, May 15 1988, 101.5, BRIGHTEST
SL-3 R/B, 19046, 1988-032B, April 20 1988, 95.8, BRIGHTEST
COSMOS 1933, 18958, 1988-020A, March 15 1988, 95.8, BRIGHTEST
SL-14 R/B, 18749, 1988-001B, January 6 1988, 97.1, BRIGHTEST
COSMOS 1867, 18187, 1987-060A, July 10 1987, 100.6, BRIGHTEST
SL-14 R/B, 18153, 1987-055B, July 1 1987, 97.1, BRIGHTEST
COSMOS 1844, 17973, 1987-041A, May 13 1987, 101.8, BRIGHTEST
SL-14 R/B, 17912, 1987-038B, April 27 1987, 97.1, BRIGHTEST
SL-16 R/B, 17590, 1987-027B, March 18 1987, 101.6, BRIGHTEST
COSMOS 1833, 17589, 1987-027A, March 18 1987, 101.9, BRIGHTEST
SL-14 R/B, 17567, 1987-024B, March 3 1987, 97.1, BRIGHTEST
COSMOS 1812, 17295, 1987-003A, January 14 1987, 95, BRIGHTEST
SL-14 R/B, 16882, 1986-055B, July 28 1986, 97.1, BRIGHTEST
SL-14 R/B, 16792, 1986-046B, June 12 1986, 97.1, BRIGHTEST
SL-14 R/B, 16496, 1986-006B, January 17 1986, 97, BRIGHTEST
SL-16 R/B, 16182, 1985-097B, October 22 1985, 101.7, BRIGHTEST
SL-3 R/B, 16111, 1985-090B, October 3 1985, 92.4, BRIGHTEST
SL-14 R/B, 15945, 1985-069B, August 8 1985, 97, BRIGHTEST
SL-12 R/B(2), 15772, 1985-042D, May 30 1985, 101.3, BRIGHTEST
SL-8 R/B, 15483, 1985-006B, January 17 1985, 100.3, BRIGHTEST
ERBS, 15354, 1984-108B, October 5 1984, 93.1, BRIGHTEST
SL-14 R/B, 14820, 1984-027B, March 15 1984, 97.1, BRIGHTEST
